,year_of_birth,low,mean,high
0,1922.0,-0.6413485113023066,-0.034747119306922945,0.44019668929150957
1,1923.0,-0.5046604132170377,-0.026159253130500333,0.3412271789855839
2,1924.0,-0.40942884298466997,-0.004348091107387937,0.3209882206301319
3,1925.0,-0.329785040117856,-0.010623663700936451,0.24307914992372368
4,1926.0,-0.42358417338918863,-0.05754241245918942,0.20878966865515966
5,1927.0,-0.314433085781056,-0.021484515462597404,0.2169934740281764
6,1928.0,-0.24001060245915126,0.006402753164849284,0.22767742360510884
7,1929.0,-0.22406660079155166,0.0020677975469620582,0.22723251475810596
8,1930.0,-0.23063719903132213,-0.002215050020327342,0.18067959677321596
9,1931.0,-0.2183838220485967,-0.006283052704835762,0.15943946074716778
10,1932.0,-0.16704237052015636,-0.0010744491643874176,0.14463664496907372
11,1933.0,-0.17582606476143212,-0.005233139103314418,0.15015422535593523
12,1934.0,-0.18769523757262843,-0.0038905962988068175,0.14520706359100835
13,1935.0,-0.13387093426538874,0.00735351285613326,0.13765514988089234
14,1936.0,-0.12352736332907549,0.01050656618488741,0.1276110520577394
15,1937.0,-0.1381768678523639,-0.013458140567118238,0.11324260538036436
16,1938.0,-0.1337431577052634,-0.002743079945684442,0.12349010470103668
17,1939.0,-0.14847038796947018,-0.007741081971880161,0.11516515549541596
18,1940.0,-0.1169711580164009,-0.00016421474864921804,0.1246540519419078
19,1941.0,-0.1139412436254231,-0.0013196480585598994,0.11102245365657347
20,1942.0,-0.10196497086864725,0.0036732595559638916,0.11072660249948653
21,1943.0,-0.10935991580055608,-0.0024212200467691705,0.10245900837693253
22,1944.0,-0.1190798992779629,-0.0013884591978426477,0.10890389216404174
23,1945.0,-0.14748666988879378,-0.0023559609219164037,0.11845500653571797
24,1946.0,-0.12642995434015544,-0.01864792650888122,0.09053231025130215
25,1947.0,-0.11851323146331223,-0.009121584143375704,0.10023675379230812
26,1948.0,-0.13976620238427176,-0.018079445067624867,0.09686702701759303
27,1949.0,-0.12922200492034505,-0.013135688664886413,0.09936543370335738
28,1950.0,-0.09361480625110728,0.0013680019642184787,0.0951328365320212
29,1951.0,-0.09633112393030133,0.002785784155017084,0.09959147241610959
30,1952.0,-0.09703190822097016,0.0031085127060814575,0.10058656217672061
31,1953.0,-0.10350305225581626,-0.0013240537483934294,0.09667133170296602
32,1954.0,-0.10285039974582962,-0.00011704775492419486,0.09891654882423793
33,1955.0,-0.10995258977487499,-0.0002256631759909487,0.11120880327534477
34,1956.0,-0.10890365648395672,0.005140684911840227,0.11672708221676441
35,1957.0,-0.11749320847707784,0.007163141184441325,0.12517883888708214
36,1958.0,-0.11132310899626857,0.0042756120648780906,0.12299097081765534
37,1959.0,-0.15767431444005356,-0.00511776600117952,0.1386827137048318
38,1960.0,-0.1261103191209923,-0.002828029525596033,0.12187198177784252
39,1961.0,-0.0940620165515469,0.0005732938011161991,0.09285717275405315
40,1962.0,-0.10909218857872809,-0.006467026387871469,0.08727500206829711
41,1963.0,-0.08105140452471413,0.004026940670576057,0.09086662914061858
42,1964.0,-0.06408508653472081,0.008922516711665806,0.08488571719817598
43,1965.0,-0.07232419864108337,0.002085526544698822,0.0765548416521578
44,1966.0,-0.07347379451349331,0.0016393785004182693,0.07621762121704366
45,1967.0,-0.08321931981598409,-0.0019429174111122854,0.07752031636881482
46,1968.0,-0.08777948155229358,-0.0027332958878058056,0.07924533779129078
47,1969.0,-0.0933359140360756,-0.0022209745495499786,0.08225794430311673
48,1970.0,-0.08603435549588057,0.00398705143663979,0.09600735321295831
49,1971.0,-0.09290253950513988,0.005159648969765402,0.10146704411747742
50,1972.0,-0.1390452547393223,0.004913855604219573,0.1297923796981118
51,1973.0,-0.13950993404198495,0.009913509719915201,0.14336860479491464
52,1974.0,-0.12020991365374877,0.0034773528948004754,0.12284326515737126
53,1975.0,-0.11328629540199742,0.001512255975117684,0.11298212846200828
54,1976.0,-0.1104749172117782,0.0038806429502665713,0.1154099015411316
55,1977.0,-0.10317439015348516,0.00458231215260287,0.11546018811593256
56,1978.0,-0.11296315464925898,0.0044925600837299375,0.11987317515863095
57,1979.0,-0.13794568383281794,0.014650489578719344,0.17008153543522972
58,1980.0,-0.15322192301664297,0.0088935429751423,0.17110474764476707
