,model prediction,sex,residence,year_of_birth,language population,village population,mother tongue,elevation,pred
60,indirect,м,Dorgeli,1922.0,47605.0,3162.0,кумыкский,667.396423339844,0.1121014661280504
61,indirect,м,Durangi,1922.0,117613.0,345.0,аварский,1040.05541992188,0.2287782040139569
62,indirect,м,Dyubek,1922.0,24826.0,1041.0,табасаранский,450.744720458984,0.911713437747058
63,indirect,м,Dzhavgat,1922.0,13236.0,579.0,кайтагский даргинский,365.503295898437,1.4377222056598131
64,indirect,м,Ersi,1922.0,16786.0,1197.0,азербайджанский,407.0,0.15148040113938244
65,indirect,м,Fiy,1922.0,1096.0,916.0,гдымско-фийский лезгинский,1927.37268066406,0.4890333235096804
66,indirect,м,Gdym,1922.0,1096.0,180.0,гдымско-фийский лезгинский,2026.662841796869,1.0858706400576053
67,indirect,м,Gelmets,1922.0,3319.0,403.0,цахурский,1750.0,1.1566876891757552
68,indirect,м,Hinuq,1922.0,150.0,150.0,гинухский,1941.0,3.0505832256658363
69,indirect,м,Ikhrek,1922.0,8229.0,1456.0,рутульский,1792.92919921875,1.1047906293905816
70,indirect,м,Karata,1922.0,4336.0,1262.0,каратинский,1463.62890625,1.0680914178689365
71,indirect,м,Khlyut,1922.0,63939.0,787.0,лезгинский,1217.13757324219,0.485651642570889
72,indirect,м,Khnov,1922.0,3792.0,1467.0,хновский рутульский,1836.39538574219,1.380547167045908
73,indirect,м,Khpyuk,1922.0,7886.0,397.0,агульский,2186.0732421875,1.5876273457618433
74,indirect,м,Kiche,1922.0,8229.0,188.0,рутульский,1291.65612792969,1.5409029237908605
75,indirect,м,Kidero,1922.0,2980.0,283.0,цезский,1900.54162597656,1.1617409233229825
76,indirect,м,Kina,1922.0,8229.0,196.0,рутульский,1573.32702636719,1.8178204099953128
77,indirect,м,Kizhani,1922.0,117613.0,309.0,аварский,1515.361328125,0.3874829537082258
78,indirect,м,Kubachi,1922.0,3502.0,1733.0,кубачинский даргинский,1636.75378417969,0.3387008143865164
79,indirect,м,Kuli,1922.0,31987.0,2430.0,лакский,1955.77087402344,0.28169528625986995
80,indirect,м,Kuli,1922.0,31987.0,2430.0,лакский,1955.77087402344,0.28169528625986995
81,indirect,м,Kurdul,1922.0,3319.0,205.0,цахурский,1880.81872558594,0.9937009084851184
